_id,site,datetime,stat,BCSTAT,BCSTAT_txt,BP,BP_txt,CO,CO_txt,H2S,H2S_txt,INT_T,INT_T_txt,NO,NO_txt,NO2,NO2_txt,NOX,NOX_txt,NOY,NOY_txt,NOYDIF,NOYDIF_txt,OUT_RH,OUT_RH_txt,OUT_T,OUT_T_txt,OZONE,OZONE_txt,OZONE2,OZONE2_txt,PER_F,PER_F_txt,PER_F2,PER_F2_txt,PM10,PM10_txt,PM10_FL,PM10_FL_txt,PM10B,PM10B_txt,PM25,PM25_txt,PM25(2),PM25(2)_txt,PM25_FL,PM25_FL_txt,PM25B,PM25B_txt,PM25T,PM25T_txt,RWD,RWD_txt,RWS,RWS_txt,SIGTHETA,SIGTHETA_txt,SO2,SO2_txt,SONICWD,SONICWD_txt,SONICWS,SONICWS_txt,UVPM,UVPM_txt
577,Avalon,2016-01-15T00:00:00,Count,,,24,,,,24,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,24,,24,,24,,24,,,
578,Avalon,2016-01-15T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Avalon,2016-01-30T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Avalon,2016-01-15T00:00:00,Min,,,726.8,,,,0,,24.1,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12.4,,0,,6,,1.5,,,
580,Avalon,2016-01-15T00:00:00,Max,,,736.4,,,,0,,25.8,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,56.1,,0.003,,192,,6.5,,,
1831,Lawrenceville 2,2016-02-16T00:00:00,Count,,,,,22,,,,24,,21,,,,,,21,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,
581,Avalon,2016-01-15T00:00:00,Hr. of Max,,,3,,,,23,,8,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,7,,17,,19,,20,,,
582,Avalon,2016-01-15T00:00:00,Avg,,,732.1,,,,0,,25,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,30.1,,0,,125,,2.8,,,
583,Avalon,2016-01-16T00:00:00,Count,,,24,,,,24,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,24,,24,,24,,24,,,
584,Avalon,2016-01-16T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Avalon,2016-01-16T00:00:00,Min,,,726.3,,,,0,,24.5,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,18.7,,0,,114,,2,,,
586,Avalon,2016-01-16T00:00:00,Max,,,737.5,,,,0,,25.1,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,67.1,,0,,298,,8.4,,,
